Rk,Player,MP,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
216,T.J. McConnell,1526,2022-23,30,IND,75,6,0,20.3,3.8,6.9,3.4,6.2,0.3,0.8,0.8,0.9,0.6,2.5,3.1,5.3,1.1,0.1,1.9,1.4,8.7,0.543,0.556,0.441,0.853,0.59,56.814,G,mccontj01
217,Landry Shamet,807,2022-23,25,PHO,40,9,0,20.2,2.8,7.5,1,2.5,1.9,5,1.1,1.3,0.3,1.4,1.7,2.3,0.7,0.1,0.9,1.5,8.7,0.377,0.376,0.377,0.882,0.537,50.167,G,shamela01
218,Steven Adams,1133,2022-23,29,MEM,42,42,0,27,3.7,6.3,3.7,6.2,0,0,1.1,3.1,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,0.597,0.599,0,0.364,0.564,59.696,C,adamsst01
219,Ayo Dosunmu,2098,2022-23,23,CHI,80,51,0,26.2,3.5,7.1,2.8,4.8,0.7,2.4,0.8,1,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6,0.493,0.583,0.312,0.805,0.567,54.474,G,dosunay01
220,Draymond Green,2297,2022-23,32,GSW,73,73,0,31.5,3.4,6.5,2.9,4.7,0.5,1.8,1.1,1.5,0.9,6.3,7.2,6.8,1,0.8,2.8,3.1,8.5,0.527,0.612,0.305,0.713,0.592,56.962,F,greendr01
221,Shake Milton,1567,2022-23,26,PHI,76,11,0,20.6,3.2,6.6,2.4,4.7,0.7,1.9,1.3,1.5,0.5,2,2.5,3.2,0.3,0.2,1.2,1.6,8.4,0.479,0.521,0.378,0.853,0.575,53.479,G,miltosh01
222,Dorian Finney-Smith,2009,2022-23,29,BRKDAL,66,66,0,30.4,3,7.6,1.2,2.5,1.7,5.1,0.7,0.9,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3,0.391,0.503,0.337,0.763,0.523,50.499,F,finnedo01
223,Terrence Ross,1330,2022-23,31,ORLPHO,63,9,0,21.1,3.2,7.4,1.7,3.3,1.5,4.1,0.4,0.5,0.3,2.1,2.4,1.5,0.6,0.2,0.7,1.5,8.3,0.43,0.507,0.368,0.794,0.544,53.226,F-G,rosste01
224,Gary Harris,1184,2022-23,28,ORL,48,42,0,24.7,2.9,6.4,0.9,1.9,2,4.5,0.6,0.6,0.4,1.6,2,1.2,0.9,0.3,0.6,1.9,8.3,0.45,0.494,0.431,0.9,0.62,60.261,G,harriga01
225,Kevin Love,1240,2022-23,34,CLEMIA,62,20,0,20,2.7,6.8,1.1,2.1,1.6,4.8,1.3,1.5,1,5.5,6.4,1.9,0.3,0.2,1.1,1.6,8.2,0.389,0.516,0.334,0.879,0.548,50.59,F-C,loveke01
226,Nick Richards,1217,2022-23,25,CHO,65,9,0,18.7,3,4.8,3,4.8,0,0,2.1,2.8,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,8.2,0.629,0.628,1,0.749,0.676,63.099,F-C,richani01
227,Georges Niang,1512,2022-23,29,PHI,78,1,0,19.4,2.8,6.4,0.9,1.5,2,4.9,0.5,0.6,0.2,2.1,2.4,1,0.4,0.2,0.7,1.9,8.2,0.442,0.576,0.401,0.867,0.61,59.562,F,niangge01
228,Damion Lee,1506,2022-23,30,PHO,74,5,0,20.4,2.7,6.1,1.2,2.8,1.5,3.3,1.3,1.4,0.5,2.5,3,1.3,0.4,0.1,1.1,1.6,8.2,0.442,0.439,0.445,0.904,0.607,56.416,G,leeda03
229,Aleksej Pokusevski,701,2022-23,21,OKC,34,25,0,20.6,3.2,7.3,2.1,4.3,1.1,3.1,0.6,1,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,0.434,0.483,0.365,0.629,0.522,51.004,F,pokusal01
230,Grant Williams,2045,2022-23,24,BOS,79,23,0,25.9,2.7,6,1.3,2.3,1.5,3.7,1.2,1.5,1.1,3.5,4.6,1.7,0.5,0.4,1,2.4,8.1,0.454,0.546,0.395,0.77,0.605,57.458,F,willigr01
231,Jevon Carter,1810,2022-23,27,MIL,81,39,0,22.3,3,7,1.2,2.8,1.8,4.2,0.4,0.5,0.4,2.1,2.5,2.4,0.8,0.4,1,2,8,0.423,0.425,0.421,0.816,0.56,54.867,G,carteje01
232,Kenrich Williams,1206,2022-23,28,OKC,53,10,0,22.8,3.4,6.5,2.4,4,0.9,2.5,0.3,0.7,1.8,3.1,4.9,2,0.8,0.3,0.6,2.1,8,0.517,0.608,0.373,0.436,0.585,58.96,G-F,willike04
233,Robert Williams,824,2022-23,25,BOS,35,20,0,23.5,3.6,4.9,3.6,4.8,0,0,0.7,1.2,3,5.4,8.3,1.4,0.6,1.4,1,1.9,8,0.747,0.751,0,0.61,0.742,74.706,C-F,williro04
234,Jarred Vanderbilt,1879,2022-23,23,LALUTA,78,65,0,24.1,3.2,5.8,2.8,4.6,0.4,1.2,1.2,1.8,2.2,5.3,7.5,2.4,1.1,0.3,1.2,2.4,7.9,0.548,0.604,0.322,0.691,0.604,57.982,F,vandeja01
235,Ochai Agbaji,1209,2022-23,22,UTA,59,22,0,20.5,2.8,6.5,1.4,2.7,1.4,3.9,0.9,1.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,0.427,0.532,0.355,0.812,0.561,53.238,G,agbajoc01
236,Chris Duarte,897,2022-23,25,IND,46,12,0,19.5,2.7,7.2,1.5,3.5,1.2,3.8,1.3,1.6,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9,0.369,0.428,0.316,0.847,0.496,45.195,G,duartch01
237,Jeff Green,1091,2022-23,36,DEN,56,4,0,19.5,2.9,5.9,2.3,4,0.5,1.9,1.6,2.1,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8,0.488,0.58,0.288,0.744,0.576,53.354,F,greenje02
238,Tre Mann,1183,2022-23,21,OKC,67,5,0,17.7,2.9,7.5,1.7,3.6,1.2,3.8,0.6,0.8,0.4,1.9,2.3,1.8,0.6,0.2,0.9,1.5,7.7,0.393,0.475,0.315,0.764,0.492,47.405,G,manntr01
239,Pat Connaughton,1443,2022-23,30,MIL,61,33,0,23.7,2.7,6.9,0.9,1.6,1.8,5.3,0.4,0.7,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6,0.392,0.566,0.339,0.659,0.531,52.138,G,connapa01
240,Joe Harris,1527,2022-23,31,BRK,74,33,0,20.6,2.7,5.9,0.8,1.4,1.9,4.5,0.2,0.4,0.3,1.9,2.2,1.4,0.5,0.2,0.6,1.9,7.6,0.457,0.551,0.426,0.643,0.621,61.818,G,harrijo01
241,Trey Lyles,1247,2022-23,27,SAC,74,0,0,16.9,2.5,5.5,1.4,2.3,1.2,3.2,1.4,1.7,0.9,3.1,4.1,0.9,0.4,0.4,0.9,1.3,7.6,0.458,0.595,0.363,0.815,0.607,56.495,F,lylestr01
242,T.J. Warren,687,2022-23,29,BRKPHO,42,0,0,16.4,3.1,6.4,2.6,4.8,0.5,1.6,0.7,0.8,0.6,2.3,2.9,1,0.5,0.3,0.5,1.5,7.5,0.489,0.542,0.328,0.8,0.55,52.963,F,warretj01
243,Torrey Craig,1948,2022-23,32,PHO,79,60,0,24.7,2.9,6.3,1.6,3.1,1.3,3.2,0.4,0.6,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4,0.456,0.518,0.395,0.711,0.566,55.6,G-F,craigto01
244,Obi Toppin,1050,2022-23,24,NYK,67,5,0,15.7,2.8,6.3,1.5,2.6,1.3,3.7,0.6,0.7,0.4,2.4,2.8,1,0.3,0.2,0.6,1,7.4,0.446,0.593,0.344,0.809,0.565,54.773,F,toppiob01
245,Trendon Watford,1182,2022-23,22,POR,62,12,0,19.1,2.9,5.2,2.5,4.2,0.4,1,1.2,1.6,0.7,3.2,3.8,2.1,0.5,0.2,1.1,1.9,7.4,0.56,0.602,0.391,0.72,0.625,59.907,F,watfotr01
246,Devonte' Graham,1338,2022-23,27,NOPSAS,73,8,0,18.3,2.2,5.9,0.6,1.3,1.6,4.6,1.3,1.8,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4,0.374,0.452,0.352,0.748,0.552,51.16,G,grahade01
247,Delon Wright,1221,2022-23,30,WAS,50,14,0,24.4,2.8,5.8,1.9,3.4,0.8,2.4,1,1.2,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,0.474,0.564,0.345,0.867,0.581,54.467,G,wrighde01
248,Mitchell Robinson,1591,2022-23,24,NYK,59,58,0,27,3.2,4.7,3.2,4.7,0,0,1,2.1,4.5,4.9,9.4,0.9,0.9,1.8,0.7,2.7,7.4,0.671,0.671,,0.484,0.652,67.143,C,robinmi01
249,Josh Okogie,1350,2022-23,24,PHO,72,26,0,18.8,2.3,5.8,1.3,3,0.9,2.7,1.9,2.7,1.5,2,3.5,1.5,0.8,0.5,0.9,1.6,7.3,0.391,0.442,0.335,0.724,0.531,47.101,G,okogijo01
250,Isaiah Jackson,1042,2022-23,21,IND,63,12,0,16.5,2.8,5,2.8,4.8,0,0.2,1.5,2.3,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,7.2,0.563,0.582,0.143,0.651,0.595,56.604,C-F,jacksis01
251,Reggie Bullock,2364,2022-23,31,DAL,78,55,0,30.3,2.5,6,0.5,0.9,1.9,5.1,0.3,0.5,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,0.409,0.562,0.38,0.703,0.577,56.915,G-F,bullore01
252,Edmond Sumner,736,2022-23,27,BRK,53,12,0,13.9,2.3,5.1,1.8,3.4,0.6,1.6,1.9,2,0.2,1.2,1.5,1.3,0.6,0.2,0.9,1.6,7.1,0.461,0.511,0.356,0.917,0.597,51.859,G,sumneed01
253,Troy Brown Jr.,1860,2022-23,23,LAL,76,45,0,24.5,2.6,6.1,1.2,2.4,1.4,3.7,0.4,0.5,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1,0.43,0.505,0.381,0.872,0.561,54.516,G-F,browntr01
254,Kendrick Nunn,964,2022-23,27,LALWAS,70,2,0,13.8,2.7,6.4,1.6,3.2,1.1,3.2,0.5,0.6,0.2,1.3,1.6,1.3,0.4,0.1,0.9,0.9,7.1,0.424,0.493,0.354,0.854,0.53,51.222,G,nunnke01
255,Kevon Looney,1958,2022-23,26,GSW,82,70,0,23.9,3,4.7,3,4.7,0,0,1.1,1.9,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7,0.63,0.632,0,0.606,0.639,63.021,F-C,looneke01
256,Xavier Tillman Sr.,1180,2022-23,24,MEM,61,29,0,19.3,3.1,5,3,4.8,0.1,0.2,0.8,1.5,2,3,5,1.6,1,0.5,0.7,1.6,7,0.614,0.632,0.267,0.551,0.621,62.092,F,tillmxa01
257,Eugene Omoruyi,645,2022-23,25,DETOKC,40,6,0,16.1,2.5,5.7,1.9,3.5,0.6,2.2,1.3,1.9,1.1,1.7,2.8,0.7,0.7,0.1,0.9,2.3,7,0.443,0.547,0.281,0.68,0.533,49.781,F,omorueu01
258,Ben Simmons,1105,2022-23,26,BRK,42,33,0,26.3,3.2,5.6,3.2,5.5,0,0,0.6,1.4,1,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,0.566,0.571,0,0.439,0.559,56.596,G-F,simmobe01
259,Romeo Langford,844,2022-23,23,SAS,43,21,0,19.6,2.8,6,2.4,4.6,0.4,1.4,0.9,1.3,1.3,1.3,2.7,1.2,0.6,0.3,0.7,1.6,6.9,0.467,0.53,0.262,0.696,0.524,49.807,G,langfro01
260,Joe Ingles,1044,2022-23,35,MIL,46,0,0,22.7,2.3,5.4,0.5,1,1.8,4.4,0.4,0.5,0.3,2.5,2.8,3.3,0.7,0.1,1.2,1.6,6.9,0.435,0.556,0.409,0.857,0.616,60.282,F-G,inglejo01
261,Cory Joseph,1227,2022-23,31,DET,62,2,0,19.8,2.4,5.7,1.3,2.8,1.1,2.9,0.9,1.2,0.3,1.4,1.7,3.5,0.5,0.1,0.9,1.4,6.9,0.427,0.468,0.389,0.792,0.558,52.707,G,josepco01
262,Ty Jerome,816,2022-23,25,GSW,45,2,0,18.1,2.6,5.4,1.8,3.4,0.8,2,0.8,0.9,0.2,1.6,1.7,3,0.5,0.1,0.7,1.4,6.9,0.488,0.546,0.389,0.927,0.594,55.992,G,jeromty01
263,Aaron Wiggins,1297,2022-23,24,OKC,70,14,0,18.5,2.7,5.2,2,3.4,0.7,1.7,0.8,1,1,2,3,1.1,0.6,0.2,0.8,1.6,6.8,0.512,0.573,0.393,0.831,0.607,57.851,G,wiggiaa01
264,Jeremiah Robinson-Earl,814,2022-23,22,OKC,43,20,0,18.9,2.6,5.8,1.7,3.2,0.9,2.6,0.8,1,1.7,2.5,4.2,1,0.6,0.3,0.4,1.7,6.8,0.444,0.533,0.333,0.833,0.548,51.815,F,robinje02
265,Larry Nance Jr.,1381,2022-23,30,NOP,65,1,0,21.2,2.9,4.7,2.6,4,0.2,0.6,0.8,1.2,1.6,3.8,5.4,1.8,0.9,0.6,0.6,2,6.8,0.61,0.654,0.333,0.696,0.649,63.279,F-C,nancela02
266,Will Barton,993,2022-23,32,TORWAS,56,2,0,17.7,2.5,6.5,1.3,3.3,1.2,3.2,0.7,0.8,0.3,2.2,2.4,2,0.5,0.2,0.9,1,6.8,0.379,0.391,0.367,0.787,0.493,46.978,G,bartowi01
267,Justise Winslow,776,2022-23,26,POR,29,11,0,26.8,2.8,6.8,2.3,5.3,0.5,1.6,0.7,1,1.7,3.3,5,3.4,1,0.4,1.5,3.1,6.8,0.409,0.438,0.311,0.714,0.466,44.444,F,winslju01
268,Terence Davis,841,2022-23,25,SAC,64,5,0,13.1,2.4,5.7,1,1.9,1.4,3.8,0.5,0.7,0.3,1.9,2.2,1,0.7,0.2,0.8,1.6,6.7,0.423,0.537,0.366,0.791,0.563,54.533,G,daviste02
269,Théo Maledon,854,2022-23,21,CHO,44,7,0,19.4,2.3,5.8,1.7,3.6,0.6,2.2,1.4,1.7,0.3,2.5,2.8,3.5,0.8,0.3,1.3,1.4,6.7,0.402,0.465,0.295,0.851,0.515,45.669,G,maledth01
270,Anthony Lamb,1195,2022-23,25,GSW,62,4,0,19.3,2.4,5.1,1.2,1.9,1.2,3.2,0.7,1,0.9,2.6,3.5,1.5,0.5,0.3,0.9,2.2,6.7,0.471,0.652,0.367,0.767,0.61,58.758,F,lamban01
271,Dwight Powell,1458,2022-23,31,DAL,76,64,0,19.2,2.6,3.5,2.6,3.5,0,0.1,1.5,2.2,2,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,0.732,0.746,0,0.667,0.738,73.234,F-C,poweldw01
272,David Roddy,1258,2022-23,21,MEM,70,4,0,18,2.6,6,1.6,3,0.9,3,0.6,0.9,0.7,2,2.8,0.8,0.4,0.3,0.8,1.5,6.7,0.429,0.553,0.307,0.631,0.519,50.595,F,roddyda01
273,Isaiah Livers,1199,2022-23,24,DET,52,22,0,23.1,2.3,5.5,0.9,1.6,1.4,3.9,0.6,0.8,0.5,2.2,2.8,0.8,0.5,0.5,0.6,2,6.7,0.417,0.541,0.365,0.821,0.567,54.514,F,liveris01
274,Nassir Little,976,2022-23,22,POR,54,4,0,18.1,2.5,5.6,1.4,2.7,1.1,2.9,0.6,0.9,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6,0.442,0.524,0.367,0.717,0.555,53.795,F,littlna01
275,Drew Eubanks,1584,2022-23,25,POR,78,28,0,20.3,2.7,4.3,2.7,4.1,0.1,0.2,1.1,1.6,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6,0.641,0.655,0.389,0.664,0.666,65.12,F,eubandr01
276,Jock Landale,979,2022-23,27,PHO,69,4,0,14.2,2.6,4.9,2.3,3.7,0.3,1.2,1.1,1.5,1.7,2.3,4.1,1,0.2,0.4,0.9,1.8,6.6,0.528,0.621,0.25,0.752,0.595,55.935,C,landajo01
277,Mo Bamba,769,2022-23,24,LALORL,49,7,0,15.7,2.4,4.9,1.4,2.4,1,2.5,0.8,1.3,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,0.485,0.59,0.387,0.661,0.602,58.506,C,bambamo01
278,Kevin Knox,952,2022-23,23,DETPOR,63,5,0,15.1,2.4,5.3,1.4,2.3,1,3,0.7,1,0.5,2.3,2.8,0.5,0.4,0.2,0.8,1.5,6.6,0.458,0.596,0.349,0.767,0.579,55.572,F,knoxke01
279,Jordan Goodwin,1106,2022-23,24,WAS,62,7,0,17.8,2.5,5.7,1.9,3.8,0.6,1.9,0.9,1.1,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6,0.448,0.511,0.322,0.768,0.531,50.142,G,goodwjo01
280,Isaac Okoro,1652,2022-23,22,CLE,76,46,0,21.7,2.3,4.7,1.5,2.4,0.8,2.3,1,1.4,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4,0.494,0.617,0.363,0.757,0.614,58.192,G-F,okorois01
281,R.J. Hampton,750,2022-23,21,DETORL,47,3,0,16,2.2,5,1.3,2.6,0.9,2.5,1.2,1.6,0.4,1.5,1.9,1.1,0.6,0.2,0.9,1.1,6.4,0.43,0.504,0.353,0.75,0.558,51.688,G,hamptrj01
282,JaMychal Green,797,2022-23,32,GSW,57,1,0,14,2.4,4.4,1.6,2.5,0.7,1.9,0.9,1.2,1.3,2.3,3.6,0.9,0.4,0.4,0.9,1.8,6.4,0.54,0.667,0.378,0.776,0.65,62.302,F,greenja01
283,Sam Hauser,1290,2022-23,25,BOS,80,8,0,16.1,2.3,5,0.5,0.8,1.8,4.2,0.2,0.2,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4,0.455,0.656,0.418,0.706,0.634,63.131,F,hausesa01
284,Duncan Robinson,691,2022-23,28,MIA,42,1,0,16.5,2.1,5.6,0.6,1.1,1.5,4.6,0.7,0.8,0.2,1.5,1.6,1.1,0.3,0,0.7,1.8,6.4,0.371,0.556,0.328,0.906,0.534,50.422,G-F,robindu01
285,Dario Šarić,806,2022-23,28,OKCPHO,57,12,0,14.1,2.2,4.9,1.4,2.8,0.8,2,1.1,1.3,0.9,2.7,3.6,1.3,0.4,0.1,1,1.7,6.4,0.458,0.506,0.391,0.829,0.583,53.971,F-C,saricda01
286,Simone Fontecchio,766,2022-23,27,UTA,52,6,0,14.7,2.2,6,1,2.3,1.2,3.7,0.7,0.8,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3,0.369,0.43,0.33,0.795,0.495,46.955,F,fontesi01
287,Goran Dragić,870,2022-23,36,CHIMIL,58,0,0,15,2.4,5.8,1.5,3.3,0.9,2.5,0.5,0.8,0.3,1.1,1.4,2.6,0.2,0.1,1.1,1.1,6.3,0.421,0.468,0.359,0.689,0.514,49.851,G,dragigo01
288,Patrick Beverley,1816,2022-23,34,CHILAL,67,67,0,27.1,2.1,5.4,1,1.8,1.2,3.6,0.7,1,0.7,3,3.7,2.9,0.9,0.6,0.9,2.8,6.2,0.4,0.529,0.335,0.723,0.534,51.111,G,beverpa01
289,Nickeil Alexander-Walker,884,2022-23,24,MINUTA,59,3,0,15,2.2,5,1.2,2.3,1,2.7,0.7,1,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,0.444,0.515,0.384,0.667,0.565,54.746,G,alexani01
290,Patty Mills,567,2022-23,34,BRK,40,2,0,14.2,2.2,5.2,0.9,1.9,1.2,3.4,0.6,0.8,0.2,0.9,1.1,1.4,0.4,0.1,0.8,0.8,6.2,0.411,0.493,0.366,0.833,0.554,52.871,G,millspa02
291,Nicolas Batum,1709,2022-23,34,LAC,78,19,0,21.9,2.1,4.9,0.5,0.8,1.6,4.1,0.4,0.6,0.8,3,3.8,1.6,0.7,0.6,0.6,1.9,6.1,0.42,0.563,0.391,0.708,0.594,58.268,F-G,batumni01
292,Oshae Brissett,1083,2022-23,24,IND,65,2,0,16.7,1.9,4.9,1.2,2.5,0.7,2.4,1.6,2.2,1,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,0.386,0.457,0.31,0.717,0.52,46.082,F,brissos01
293,Sandro Mamukelashvili,660,2022-23,23,MILSAS,43,7,0,15.3,2.3,5.3,1.6,3,0.7,2.3,0.9,1.3,1.6,2.7,4.3,1.4,0.3,0.3,0.8,1.2,6.1,0.422,0.511,0.303,0.684,0.516,48.696,C-F,mamuksa01
294,Mike Muscala,945,2022-23,31,BOSOKC,63,9,0,15,2.1,4.6,0.8,1.3,1.3,3.3,0.6,0.8,0.6,2.6,3.2,0.8,0.2,0.4,0.4,1.6,6.1,0.449,0.588,0.391,0.769,0.608,58.733,F-C,muscami01
295,Robert Covington,779,2022-23,32,LAC,48,0,0,16.2,2.1,4.8,1,1.9,1.1,2.8,0.6,0.8,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8,6,0.445,0.516,0.397,0.75,0.584,56.332,F-C,covinro01
296,Andre Drummond,849,2022-23,29,CHI,67,0,0,12.7,2.5,4.1,2.5,4,0,0,1,1.9,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6,0.606,0.613,0,0.536,0.606,60.584,C,drumman01
297,Maxi Kleber,930,2022-23,31,DAL,37,5,0,25.1,2.1,4.6,1,1.5,1.1,3,0.7,1,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,0.456,0.667,0.348,0.711,0.592,57.101,F,klebima01
298,Jaylin Williams,914,2022-23,20,OKC,49,36,0,18.7,2.1,4.8,1.1,2.5,0.9,2.3,0.8,1.1,0.9,4,4.9,1.6,0.6,0.2,0.8,2.3,5.9,0.436,0.463,0.407,0.704,0.559,53.419,F,willija07
299,Josh Christopher,786,2022-23,21,HOU,64,2,0,12.3,2.4,5.1,2.1,3.8,0.3,1.4,0.7,0.9,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.8,0.465,0.55,0.236,0.75,0.523,49.696,G,chrisjo01
300,Rodney McGruder,524,2022-23,31,DET,32,12,0,16.4,1.9,4.8,0.7,1.7,1.3,3,0.6,0.7,0.6,1.7,2.3,0.9,0.5,0,0.3,1.2,5.7,0.408,0.382,0.423,0.818,0.566,54.276,G,mcgruro01
301,Charles Bassey,508,2022-23,22,SAS,35,2,0,14.5,2.5,3.9,2.4,3.6,0.1,0.2,0.6,1.1,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,0.644,0.661,0.375,0.595,0.658,65.556,C,bassech01
302,Ziaire Williams,561,2022-23,21,MEM,37,4,0,15.2,2.3,5.3,1.6,2.7,0.7,2.6,0.5,0.6,0.4,1.7,2.1,0.9,0.4,0.2,1,1.6,5.7,0.429,0.596,0.258,0.773,0.511,49.235,F,willizi02
303,Jalen Johnson,1042,2022-23,21,ATL,70,6,0,14.9,2.3,4.6,1.8,3.1,0.4,1.5,0.7,1.1,0.7,3.3,4,1.2,0.5,0.5,0.6,1.6,5.6,0.491,0.587,0.288,0.628,0.554,53.727,F,johnsja05
304,Davion Mitchell,1447,2022-23,24,SAC,80,9,0,18.1,2.3,5,1.5,2.5,0.8,2.5,0.3,0.4,0.2,1.1,1.3,2.3,0.6,0.2,0.8,1.4,5.6,0.454,0.584,0.32,0.806,0.545,53.258,G,mitchda01
305,Payton Pritchard,643,2022-23,25,BOS,48,3,0,13.4,2.1,5.1,0.9,1.9,1.2,3.2,0.3,0.3,0.5,1.3,1.8,1.3,0.3,0,0.8,0.8,5.6,0.412,0.495,0.364,0.75,0.536,52.653,G,pritcpa01
306,James Bouknight,515,2022-23,22,CHO,34,0,0,15.1,2,5.7,1.1,2.5,1,3.2,0.6,0.9,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,0.358,0.429,0.303,0.667,0.463,44.301,G,bouknja01
307,Montrezl Harrell,681,2022-23,29,PHI,57,7,0,11.9,2.2,3.7,2.2,3.6,0,0.1,1.2,1.8,1.2,1.6,2.8,0.6,0.3,0.4,0.6,1.3,5.6,0.598,0.616,0,0.693,0.631,59.809,F-C,harremo01
308,Alex Caruso,1575,2022-23,28,CHI,67,36,0,23.5,1.9,4.3,1.1,2,0.8,2.3,0.9,1.1,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,0.455,0.556,0.364,0.808,0.588,55.07,G,carusal01
309,Yuta Watanabe,928,2022-23,28,BRK,58,1,0,16,2,4,0.9,1.7,1,2.3,0.6,0.8,0.5,1.9,2.4,0.8,0.4,0.3,0.4,1.4,5.6,0.491,0.557,0.444,0.723,0.637,62.069,F,watanyu01
310,Wenyen Gabriel,1024,2022-23,25,LAL,68,2,0,15.1,2.3,3.8,2.1,3.3,0.1,0.5,0.8,1.2,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,0.596,0.647,0.278,0.619,0.626,61.538,F,gabriwe01
311,Bryce McGowens,787,2022-23,20,CHO,46,7,0,17.1,1.7,4.4,1.2,2.7,0.6,1.7,1.3,1.7,0.4,1.6,2,1.2,0.3,0.1,0.9,1,5.3,0.396,0.443,0.325,0.75,0.519,46.04,G-F,mcgowbr01
312,Lamar Stevens,1120,2022-23,25,CLE,62,25,0,18.1,2.1,4.6,1.6,3.1,0.5,1.5,0.6,0.9,0.8,2.6,3.3,0.5,0.4,0.3,0.4,1.3,5.3,0.448,0.513,0.316,0.702,0.524,50,F,stevela01
313,Rudy Gay,816,2022-23,36,UTA,56,0,0,14.6,1.9,5.1,1.4,2.8,0.6,2.3,0.8,0.9,0.6,2.3,2.9,1,0.3,0.3,0.7,1.2,5.2,0.38,0.484,0.254,0.857,0.475,43.728,F,gayru01
314,Zeke Nnaji,728,2022-23,22,DEN,53,5,0,13.7,2.1,3.7,1.8,2.5,0.3,1.2,0.8,1.2,1.2,1.4,2.6,0.3,0.3,0.4,0.6,2,5.2,0.561,0.71,0.262,0.645,0.62,60.459,F,nnajize01
315,Lindy Waters III,531,2022-23,25,OKC,41,0,0,13,1.7,4.3,0.3,0.4,1.4,4,0.4,0.5,0.4,1.4,1.8,0.7,0.3,0.3,0.2,1,5.2,0.393,0.75,0.358,0.8,0.573,55.618,G,waterli01
316,Darius Bazley,616,2022-23,22,OKCPHO,43,1,0,14.3,1.9,4.3,1.5,3,0.5,1.2,0.9,1.6,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1,5.2,0.454,0.485,0.377,0.543,0.524,50.82,F,bazleda01
317,Ricky Rubio,566,2022-23,32,CLE,33,2,0,17.2,1.8,5.4,1.2,2.9,0.6,2.5,0.8,1.1,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,5.2,0.343,0.417,0.256,0.8,0.442,40.169,G,rubiori01
318,MarJon Beauchamp,701,2022-23,22,MIL,52,11,0,13.5,1.8,4.7,0.9,1.9,0.9,2.7,0.5,0.7,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,0.395,0.485,0.331,0.73,0.513,49.177,G,beaucma01
319,DeAndre Jordan,586,2022-23,34,DEN,39,8,0,15,2.3,2.9,2.2,2.9,0,0,0.6,1.2,1.3,3.8,5.2,0.9,0.3,0.6,1.2,1.8,5.1,0.765,0.763,1,0.458,0.731,76.957,C,jordade01
320,John Konchar,1494,2022-23,26,MEM,72,23,0,20.8,1.9,4.4,1.1,2,0.8,2.5,0.4,0.5,0.9,3.4,4.3,1.4,1.1,0.3,0.5,1.6,5.1,0.431,0.545,0.339,0.778,0.542,52.5,G,konchjo01
