Rk,Player,MP,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
135,Bones Hyland,1085,2022-23,22,DENLAC,56,1,0,19.4,4.1,10.2,2,4.6,2.1,5.6,1.5,1.8,0.4,2.1,2.4,3.1,0.7,0.3,1.5,1.7,11.8,0.399,0.434,0.371,0.843,0.535,50.175,G,hylanbo01
136,Lonnie Walker IV,1297,2022-23,24,LAL,56,32,0,23.2,4.2,9.4,2.6,5,1.6,4.4,1.6,1.9,0.3,1.7,1.9,1.1,0.5,0.3,0.8,1.3,11.7,0.448,0.522,0.365,0.858,0.57,53.416,G,walkelo01
137,Zach Collins,1441,2022-23,25,SAS,63,26,0,22.9,4.5,8.7,3.6,6.4,0.9,2.3,1.7,2.3,1.8,4.5,6.4,2.9,0.6,0.8,2,3.2,11.6,0.518,0.571,0.374,0.761,0.599,56.843,C-F,colliza01
138,Bruce Brown,2280,2022-23,26,DEN,80,31,0,28.5,4.5,9.3,3.3,6.1,1.1,3.2,1.5,1.9,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,0.483,0.548,0.358,0.758,0.571,54.453,G-F,brownbr01
139,Max Strus,2272,2022-23,26,MIA,80,33,0,28.4,4.1,9.9,1.6,2.8,2.5,7,1,1.1,0.6,2.6,3.2,2.1,0.5,0.2,0.9,2.1,11.5,0.41,0.559,0.35,0.876,0.557,53.481,G,strusma01
140,Marcus Smart,1957,2022-23,28,BOS,61,61,0,32.1,4.1,9.9,2.2,4.3,1.9,5.6,1.4,1.9,0.8,2.4,3.1,6.3,1.5,0.4,2.3,2.8,11.5,0.415,0.519,0.336,0.746,0.538,51.08,G,smartma01
141,Naz Reid,1251,2022-23,23,MIN,68,11,0,18.4,4.6,8.5,3.5,5.3,1.1,3.2,1.3,1.9,1.1,3.8,4.9,1.1,0.6,0.8,1.4,2.6,11.5,0.537,0.653,0.346,0.677,0.617,60.225,F,reidna01
142,John Wall,755,2022-23,32,LAC,34,3,0,22.2,4.1,9.9,3.1,6.7,1,3.2,2.3,3.3,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,0.408,0.459,0.303,0.681,0.498,45.71,G,walljo01
143,Isaiah Stewart,1414,2022-23,21,DET,50,47,0,28.3,3.9,8.8,2.6,4.7,1.3,4.1,2.2,3,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,0.442,0.542,0.327,0.738,0.56,51.814,F-C,stewais01
144,Quentin Grimes,2121,2022-23,22,NYK,71,66,0,29.9,4,8.5,1.8,2.7,2.2,5.7,1.1,1.4,0.7,2.5,3.2,2.1,0.7,0.4,1,2.5,11.3,0.468,0.641,0.386,0.796,0.619,59.884,G,grimequ01
145,Rui Hachimura,1466,2022-23,24,LALWAS,63,9,0,23.3,4.5,9.3,3.7,6.7,0.8,2.5,1.4,1.9,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2,0.486,0.55,0.319,0.739,0.556,52.997,F,hachiru01
146,Marcus Morris,1825,2022-23,33,LAC,65,65,0,28.1,4.2,9.9,2.5,5.2,1.7,4.7,1,1.3,0.4,3.5,4,1.8,0.6,0.3,0.9,2.1,11.2,0.426,0.484,0.364,0.782,0.534,51.322,F,morrima03
